Sheet = "8102-PART1.pdf"
-------------
"SWCLLI","POPID","BEGDATE","ENDDATE","REPLDATE"
"ALBYKYXADS0","3670","10/1/99","9/30/06","-"
"ALBYLAMARS1","3710","10/1/99","9/30/06","-"
"ALBYMNXA84G","3870","10/1/99","9/30/06","-"
"ALBYMOXADS0","2020","10/1/99","9/30/06","-"
"ALBYNY80DS0","4130","10/1/99","9/30/06","-"
"ALBYNYDYW01","4130","10/1/99","9/30/06","-"
"ALBYNYGDDS0","4130","10/1/99","9/30/06","-"
"ALBYNYKJCM0","4130","10/1/99","9/30/06","-"
"ALBYNYPSDS3","4130","10/1/99","9/30/06","-"
"ALBYNYPSDS4","4130","10/1/99","9/30/06","-"
"ALBYNYPSW17","4130","10/1/99","9/30/06","-"
"ALBYNYPSW18","4130","10/1/99","9/30/06","-"
"ALBYNYSS50T","4130","10/1/99","9/30/06","-"
"ALBYNYSS5GT","4130","10/1/99","9/30/06","-"
"ALBYNYSSDS0","4130","10/1/99","9/30/06","-"
"ALBYNYSSDS1","4130","10/1/99","9/30/06","-"
"ALBYNYSSDS3","4130","10/1/99","9/30/06","-"
"ALBYNYSSDS4","4130","10/1/99","9/30/06","-"
"ALBYNYSSDS5","4130","10/1/99","9/30/06","-"
"ALBYNYSSTMD","4130","10/1/99","9/30/06","-"
"ALBYNYWADS0","4130","10/1/99","9/30/06","-"
"ALBYNYWBCM2","4130","10/1/99","9/30/06","-"
"ALBYNYWBDS0","4130","10/1/99","9/30/06","-"
"ALBYNYWBDS1","4130","10/1/99","9/30/06","-"
"ALBYOHXARS0","4206","10/1/99","9/30/06","-"
"ALBYOR631MD","4250","10/1/99","9/30/06","-"
"ALBYOR63CG0","4250","10/1/99","9/30/06","-"
"ALBYOR63RS0","4250","10/1/99","9/30/06","-"
"ALBYORAGCM1","4250","10/1/99","9/30/06","-"
"ALBYORQACM1","4250","10/1/99","9/30/06","-"
"ALBYORQACM2","4250","10/1/99","9/30/06","-"
"ALBYTXPORS0","4420","10/1/99","9/30/06","-"
"ALBYWIXARS0","4680","10/1/99","9/30/06","-"
"ALCHFLXARS1","3262","10/1/99","9/30/06","-"
"ALCKWVAKRS1","8304","10/1/99","9/30/06","-"
"ALCSSDXADS0","4370","10/1/99","9/30/06","-"
"ALCTWIXARS0","4670","10/1/99","9/30/06","-"
"ALCYALMTDS0","3000","10/1/99","9/30/06","-"
"ALCYIAXORS0","3410","10/1/99","9/30/06","-"
"ALDLILXERS0","3467","10/1/99","9/30/06","-"
"ALDLMIXJDS2","3800","10/1/99","9/30/06","-"
"ALDLMOXARS0","2020","10/1/99","9/30/06","-"
"ALDLSCMARS1","4340","10/1/99","9/30/06","-"
"ALDNIAXODS0","3400","10/1/99","9/30/06","-"
"ALDNKSXARS0","3660","10/1/99","9/30/06","-"
"ALDNMIXHRS0","3800","10/1/99","9/30/06","-"
"ALDNMNXBDS0","3855","10/1/99","9/30/06","-"
"ALDNNYADDS0","2192","10/1/99","9/30/06","-"
"ALDRMOXARS0","8027","10/1/99","9/30/06","-"
"ALDRWVADRS1","8304","10/1/99","9/30/06","-"
"ALEDILXDDS0","3380","10/1/99","9/30/06","-"
"ALEXOKMARL1","4230","10/1/99","9/30/06","-"
"ALFAFLXA67H","3322","10/1/99","9/30/06","-"
"ALFAPAALRS1","4275","10/1/99","9/30/06","-"
"ALFENYXADS0","4140","10/1/99","9/30/06","-"
"ALFLOKXARS1","4230","10/1/99","9/30/06","-"
"ALFRFLXARS0","3292","10/1/99","9/30/06","-"
"ALGDTNABCM1","2232","10/1/99","9/30/06","-"
"ALGDTNXARS0","2232","10/1/99","9/30/06","-"
"ALGHCA11RS0","8080","10/1/99","9/30/06","-"
"ALGMWI11RS0","4660","10/1/99","9/30/06","-"
"ALGNIAADCM3","8527","10/1/99","9/30/06","-"
"ALGNIAQACM1","8527","10/1/99","9/30/06","-"
"ALGNIATCDS0","8527","10/1/99","9/30/06","-"
"ALGNILAQDS0","3435","10/1/99","9/30/06","-"
"ALGNMIMNRS0","2330","10/1/99","9/30/06","-"
"ALGRMIXJDS0","3830","10/1/99","9/30/06","-"
"ALGROHXARS1","4200","10/1/99","9/30/06","-"
"ALGRWAXXRS0","4655","10/1/99","9/30/06","-"
"ALHBCA012MD","3108","10/1/99","9/30/06","-"
"ALHBCA0165T","3108","10/1/99","9/30/06","-"
"ALHBCA01DS0","3108","10/1/99","9/30/06","-"
"ALHBCA01RS0","3108","10/1/99","9/30/06","-"
"ALHBCAAWDS0","4886","10/1/99","9/30/06","-"
"ALHBILXEDS0","3900","10/1/99","9/30/06","-"
"ALICNDXARS6","4030","10/1/99","9/30/06","-"
"ALICTXALDS0","4480","10/1/99","9/30/06","-"
"ALINOKXARS0","4230","10/1/99","9/30/06","-"
"ALITAKZA371","2220","10/1/99","9/30/06","-"
"ALKTAKXA968","2220","10/1/99","9/30/06","-"
"ALLEMNALDS0","3855","10/1/99","9/30/06","-"
"ALLEMNWV1KD","3855","10/1/99","9/30/06","-"
"ALLGMIXGDS0","3805","10/1/99","9/30/06","-"
"ALLNKSXADS0","3660","10/1/99","9/30/06","-"
"ALLNKYMADS0","3670","10/1/99","9/30/06","-"
"ALLNMIXIDS0","3810","10/1/99","9/30/06","-"
"ALLNNERCRS1","2262","10/1/99","9/30/06","-"
"ALLNOKMARS1","4230","10/1/99","9/30/06","-"
"ALLNTXSADS0","4532","10/1/99","9/30/06","-"
"ALLWOKMARS1","4240","10/1/99","9/30/06","-"
"ALLYWVALRS1","8304","10/1/99","9/30/06","-"
"ALMAARXADS0","3050","10/1/99","9/30/06","-"
"ALMAGAXADS1","3860","10/1/99","9/30/06","-"
"ALMAKSXARS0","3650","10/1/99","9/30/06","-"
"ALMAMIXG2MD","3830","10/1/99","9/30/06","-"
"ALMAMIXGDS0","3830","10/1/99","9/30/06","-"
"ALMAMOXADS0","2020","10/1/99","9/30/06","-"
"ALMANEXGDS0","4040","10/1/99","9/30/06","-"
"ALMAWIXADS0","8007","10/1/99","9/30/06","-"
"ALMDCA11DS0","3125","10/1/99","9/30/06","-"
"ALMDNYXARS0","4140","10/1/99","9/30/06","-"
"ALMDWIXADS0","4660","10/1/99","9/30/06","-"
"ALMEKSMARS0","3650","10/1/99","9/30/06","-"
"ALMEWIXARS0","4670","10/1/99","9/30/06","-"
"ALMGNM05CM1","4105","10/1/99","9/30/06","-"
"ALMGNMAGCM1","4105","10/1/99","9/30/06","-"
"ALMGNMMADS0","4105","10/1/99","9/30/06","-"
"ALMGNMWERS1","4105","10/1/99","9/30/06","-"
"ALMLMNXARS5","2252","10/1/99","9/30/06","-"
"ALMOIDXCRS0","8352","10/1/99","9/30/06","-"
"ALMRWAXARS0","4650","10/1/99","9/30/06","-"
"ALMSCO02CM1","3190","10/1/99","9/30/06","-"
"ALMSCOAICM1","3190","10/1/99","9/30/06","-"
"ALMSCOMADS0","3190","10/1/99","9/30/06","-"
"ALMTILXEDS0","3900","10/1/99","9/30/06","-"
"ALMTKSXARS0","3660","10/1/99","9/30/06","-"
"ALMTMIXGDS1","3795","10/1/99","9/30/06","-"
"ALMTNYALRS0","4130","10/1/99","9/30/06","-"
"ALMTTXXADS0","4530","10/1/99","9/30/06","-"
"ALMTUTXCRS1","4565","10/1/99","9/30/06","-"
"ALMYARXARS0","3060","10/1/99","9/30/06","-"
"ALNAIACORS9","3400","10/1/99","9/30/06","-"
"ALNAKSXARS0","3660","10/1/99","9/30/06","-"
"ALNAPAACCM1","8014","10/1/99","9/30/06","-"
"ALNAPAACCM8","8014","10/1/99","9/30/06","-"
"ALNAPAACXSX","8014","10/1/99","9/30/06","-"
